ag_x,ag_y,ag_z,g_x,g_y,g_z
-0.887,0.231,-0.406,-0.018,0.001,-0.015
-0.89,0.231,-0.403,-0.008,0.024,-0.009
-0.881,0.232,-0.408,-0.01,0.013,-0.015
-0.886,0.234,-0.407,-0.017,0.012,-0.018
-0.884,0.232,-0.409,-0.013,0.014,-0.019
-0.886,0.232,-0.409,-0.014,0.009,-0.018
-0.886,0.231,-0.407,-0.014,0.012,-0.018
-0.886,0.231,-0.406,-0.017,0.008,-0.022
-0.888,0.232,-0.406,-0.002,0.019,-0.014
-0.885,0.227,-0.407,-0.006,-0.004,-0.014
-0.888,0.231,-0.409,-0.013,0.01,-0.02
-0.886,0.228,-0.406,-0.019,0.011,-0.022
-0.888,0.232,-0.405,-0.019,0.009,-0.022
-0.886,0.23,-0.406,-0.008,0.014,-0.016
-0.89,0.231,-0.399,-0.005,0.017,-0.014
-0.883,0.23,-0.41,-0.006,0.013,-0.021
-0.887,0.229,-0.406,-0.016,0.011,-0.022
-0.887,0.227,-0.408,-0.019,0.019,-0.021
-0.885,0.229,-0.408,-0.02,0.012,-0.019
-0.888,0.228,-0.404,-0.013,0.013,-0.018
-0.886,0.23,-0.405,-0.009,0.011,-0.017
-0.89,0.229,-0.402,-0.003,0.035,-0.016
-0.881,0.227,-0.413,-0.014,0.009,-0.026
-0.889,0.227,-0.405,-0.013,0.012,-0.021
-0.883,0.227,-0.409,-0.01,0.013,-0.017
-0.886,0.227,-0.409,-0.016,0.016,-0.017
-0.884,0.227,-0.411,-0.021,0.022,-0.023
-0.886,0.227,-0.41,-0.027,0.017,-0.026
-0.894,0.224,-0.402,-0.016,0.035,-0.02
-0.88,0.229,-0.415,-0.014,0.016,-0.013
-0.886,0.23,-0.411,-0.014,0.013,-0.011
-0.882,0.23,-0.415,-0.013,0.02,-0.011
-0.885,0.23,-0.411,-0.018,0.013,-0.016
-0.883,0.23,-0.411,-0.012,0.013,-0.019
-0.884,0.23,-0.413,-0.011,0.012,-0.016
-0.888,0.229,-0.406,-0.012,0.015,-0.022
-0.878,0.229,-0.419,-0.011,0.02,-0.023
-0.883,0.227,-0.415,-0.017,0.014,-0.02
-0.885,0.226,-0.415,-0.013,0.015,-0.018
-0.883,0.229,-0.412,-0.015,0.007,-0.013
-0.886,0.228,-0.41,-0.013,0.01,-0.017
-0.883,0.229,-0.414,-0.01,0.014,-0.015
-0.885,0.227,-0.412,-0.011,0.015,-0.022
-0.879,0.227,-0.422,-0.006,0.035,-0.018
-0.883,0.226,-0.416,-0.016,0.012,-0.023
-0.883,0.225,-0.416,-0.011,0.017,-0.02
-0.883,0.226,-0.414,-0.01,0.006,-0.015
-0.885,0.225,-0.414,-0.013,0.013,-0.015
-0.881,0.226,-0.417,-0.018,0.014,-0.018
-0.883,0.227,-0.417,-0.023,0.017,-0.022
-0.884,0.227,-0.416,-0.014,0.03,-0.012
-0.88,0.226,-0.418,-0.015,0.006,-0.013
-0.883,0.227,-0.417,-0.012,0.011,-0.014
-0.88,0.226,-0.416,-0.016,0.006,-0.015
-0.883,0.229,-0.415,-0.014,0.007,-0.016
-0.881,0.228,-0.416,-0.01,0.011,-0.015
-0.884,0.229,-0.416,-0.012,0.01,-0.016
-0.886,0.226,-0.411,-0.013,0.014,-0.02
-0.88,0.226,-0.42,-0.018,0.023,-0.019
-0.882,0.228,-0.418,-0.018,0.017,-0.016
-0.883,0.228,-0.417,-0.007,0.017,-0.008
-0.88,0.228,-0.419,-0.011,0.006,-0.009
-0.884,0.23,-0.417,-0.015,0.013,-0.015
-0.883,0.229,-0.416,-0.018,0.017,-0.019
-0.882,0.23,-0.416,-0.021,0.015,-0.02
-0.884,0.23,-0.413,-0.01,0.029,-0.016
-0.874,0.229,-0.424,-0.015,0.006,-0.019
-0.879,0.229,-0.42,-0.01,0.007,-0.015
-0.88,0.229,-0.418,-0.009,0.003,-0.014
-0.884,0.229,-0.413,-0.013,-0.004,-0.015
-0.884,0.23,-0.414,-0.011,0.004,-0.016
-0.883,0.229,-0.412,-0.013,0.008,-0.018
-0.885,0.231,-0.413,-0.014,0.012,-0.018
-0.884,0.229,-0.417,-0.01,0.032,-0.013
-0.88,0.227,-0.415,-0.019,0.008,-0.019
-0.884,0.225,-0.415,-0.022,0.01,-0.02
-0.88,0.228,-0.419,-0.028,0.008,-0.014
-0.884,0.23,-0.415,-0.028,0.006,-0.014
-0.883,0.231,-0.413,-0.017,0.003,-0.008
-0.884,0.233,-0.41,-0.017,0.002,-0.007
-0.886,0.234,-0.405,-0.015,0.012,-0.014
-0.878,0.235,-0.414,-0.011,0.013,-0.017
-0.884,0.234,-0.41,-0.016,0.01,-0.016
-0.884,0.234,-0.409,-0.014,0.012,-0.019
-0.885,0.234,-0.409,-0.015,0.003,-0.02
-0.885,0.233,-0.41,-0.015,0.006,-0.022
-0.885,0.23,-0.408,-0.011,0.002,-0.015
-0.884,0.232,-0.409,-0.017,0.005,-0.015
-0.886,0.233,-0.41,-0.014,0.015,-0.013
-0.881,0.232,-0.409,-0.018,-0.015,-0.018
-0.885,0.233,-0.405,-0.011,-0.016,-0.011
-0.882,0.23,-0.407,-0.019,-0.016,-0.003
-0.89,0.237,-0.399,-0.031,-0.025,-0.013
-0.89,0.236,-0.392,-0.036,-0.023,-0.025
-0.891,0.241,-0.388,-0.034,-0.022,-0.019
-0.894,0.241,-0.38,-0.027,-0.019,-0.021
-0.89,0.24,-0.389,-0.022,-0.013,-0.023
-0.898,0.238,-0.381,-0.015,-0.023,-0.023
-0.901,0.239,-0.381,-0.003,-0.015,-0.011
-0.905,0.228,-0.376,-0.007,-0.018,-0.006
-0.893,0.231,-0.369,-0.032,0.005,0.011
-0.886,0.246,-0.369,-0.05,-0.009,-0.011
-0.9,0.244,-0.36,-0.067,-0.042,-0.048
-0.914,0.249,-0.349,-0.059,-0.001,-0.021
-0.904,0.257,-0.349,-0.012,0.008,-0.006
-0.914,0.262,-0.363,-0.026,0.034,-0.034
-0.914,0.243,-0.357,0.001,0.06,-0.045
-0.863,0.217,-0.381,0.025,0.116,-0.018
-0.895,0.237,-0.397,0.001,-0.056,-0.003
-0.918,0.244,-0.352,0.023,-0.004,-0.007
-0.876,0.235,-0.392,0.042,0.022,0.005
-0.911,0.231,-0.369,-0.02,-0.034,-0.02
-0.911,0.241,-0.369,-0.021,0.051,-0.007
-0.887,0.25,-0.383,-0.006,0.031,-0.005
-0.901,0.25,-0.363,-0.007,-0.003,-0.036
-0.89,0.239,-0.367,0.019,0.028,-0.025
-0.907,0.238,-0.372,0.024,0.036,-0.018
-0.893,0.226,-0.391,0.007,0.067,-0.045
-0.886,0.221,-0.399,-0.05,0.05,-0.055
-0.9,0.23,-0.383,-0.056,0.009,-0.038
-0.898,0.232,-0.382,-0.016,0.013,-0.019
-0.895,0.24,-0.389,0.003,0.022,0.002
-0.889,0.239,-0.39,0.011,0.042,-0.011
-0.891,0.224,-0.387,-0.009,0.025,-0.04
-0.9,0.226,-0.389,-0.026,0.045,-0.06
-0.879,0.227,-0.404,0.01,0.051,-0.026
-0.899,0.228,-0.408,0.026,-0.007,-0.015
-0.89,0.22,-0.395,0.019,0.04,0.0
-0.886,0.22,-0.405,-0.029,0.025,-0.041
-0.898,0.218,-0.399,-0.029,0.029,-0.051
-0.893,0.217,-0.397,-0.005,0.036,-0.03
-0.894,0.215,-0.409,-0.027,0.034,-0.018
-0.874,0.222,-0.417,-0.015,0.051,-0.021
-0.889,0.212,-0.416,-0.006,0.006,-0.029
-0.885,0.218,-0.413,-0.007,0.029,0.001
-0.881,0.217,-0.415,-0.006,0.006,-0.009
-0.886,0.218,-0.412,-0.005,-0.007,-0.01
-0.881,0.221,-0.421,-0.002,0.005,-0.012
-0.891,0.216,-0.407,-0.029,-0.019,-0.033
-0.893,0.214,-0.401,-0.027,-0.017,-0.027
-0.894,0.215,-0.401,-0.011,-0.002,-0.008
-0.894,0.216,-0.397,-0.007,-0.002,-0.009
-0.894,0.217,-0.398,-0.016,0.015,-0.011
-0.891,0.22,-0.402,-0.033,0.025,-0.02
-0.896,0.219,-0.395,-0.032,0.029,-0.021
-0.883,0.221,-0.412,-0.016,0.028,-0.01
-0.891,0.223,-0.406,-0.01,0.022,-0.014
-0.887,0.219,-0.409,-0.014,0.017,-0.017
